x,y,Fe,Al2O3,SiO2,Mn,P,Rest,Comminution Time,Specific Energy,Fe Recovery,Working Face
95,75,0.48087805980949094,0.0180705890998448,0.0392210643815162,0.0004298860618069,0.0013128732646208,0.31008752738272,3,1.1226398573114236,0.7854100221109992,B
-135,55,0.583780941566467,0.0164606620674387,0.0249757789934812,0.0017517883881709,0.0014998001492348,0.321531028835207,3,1.1407317927476852,0.7858858159366504,A
-135,90,0.602709855351945,0.009903348161306,0.0123769783834148,0.0036948578796056,0.0012154958650764,0.320099464358652,1,0.716467464401263,0.7931556097003309,A
-135,60,0.5750180553523739,0.0232398017813821,0.030307382130601,0.001935555359021,0.0014695518217759,0.318029653554846,2,0.7629227450212308,0.7402677572582523,A
90,45,0.484111993657094,0.0129427958577787,0.0432268276457489,0.0011519179977595,0.0009852079072507,0.307581256934368,2,1.1307158198770269,0.7487982006937907,B
-130,110,0.644690826059083,0.0098575570581866,0.0166194628794811,0.0019941912652427,0.0019406836788775,0.324897279059129,3,1.2913540161956547,0.7658803577800711,C
-135,85,0.5960314654589569,0.0140580333199827,0.0185172085526192,0.0018718158355188,0.0014675370071809,0.318053939825742,3,1.1283417944528984,0.7751700306052076,A
-135,65,0.576675444239141,0.022718879303226,0.0305758114151783,0.0011273154965353,0.0014594880462212,0.317443061499698,3,1.045289455387834,0.7855619791911305,A
-135,80,0.5979603923592139,0.0129534901843902,0.0179647802648893,0.0021834870840394,0.0015123402830373,0.31742550982443,3,1.0433924006552293,0.8222925532117079,A
-135,70,0.5951290871821879,0.0091104754511138,0.0250952686963266,0.001069520368107,0.0012789161852118,0.318316732117053,3,0.6888883559741501,0.7437697019493976,A
-135,75,0.604443422123785,0.0084058875001408,0.0131691433035334,0.0023510207181923,0.0015460365391446,0.320084489815204,1,1.2554941082919857,0.7848149277493071,A
90,50,0.437402290171104,0.0138784494337238,0.106243055277263,0.0003496485833996,0.0007869353466151,0.291339621187894,3,1.5918605263162655,0.6993012575595149,B
-130,105,0.651824709663961,0.0079151116156289,0.0140806903373418,0.0016802238416025,0.0017410392145644,0.322758225326901,1,1.4065713744653316,0.7866705175893655,C
85,35,0.43418270801093994,0.0361727235402505,0.0784713280629404,0.0010802266124252,0.0009887585165572,0.299104255256886,3,0.8824236743848144,0.6470096657664597,B
90,55,0.44284153821612693,0.0136765856430899,0.0960341981692449,0.0004407799107289,0.0009444137243047,0.296062484336504,2,0.9800748432833033,0.6577885463142584,B
-130,100,0.667651767464118,0.0053926255931143,0.0091579402573055,0.0013596948903444,0.0011646872263678,0.315273284568749,3,1.0681707634846807,0.7980177837590935,C
90,90,0.627612524091311,0.0214641831094625,0.0301102891478624,0.0009022928837684,0.0014831825941431,0.318427528173452,2,1.0330064206628917,0.7557718465496798,C
90,60,0.409653599344444,0.0234484483501973,0.128787653481432,0.0004046421644121,0.0010200142098323,0.286685642449683,1,1.0615450793719088,0.5790662198726326,B
-125,115,0.647438335429507,0.0098350700799223,0.0165810545222044,0.0011817900265648,0.0016306227457832,0.323333127196018,2,0.949780209651639,0.7424221954534759,C
85,40,0.441826567070581,0.0338858454885506,0.0739865769629745,0.0012128006540293,0.001091467141398,0.297996742682467,2,1.2309600404955126,0.6313646025155251,B
90,85,0.46780812695791196,0.0254677409006209,0.0357665487387779,0.0008355338596718,0.0015038756818369,0.31861817386118,1,0.673057600117686,0.7289829184210717,B
90,65,0.39813647495189497,0.0262115996658065,0.146861903713045,0.000272225675413,0.0009159947188383,0.277601801275002,2,1.2211074180717132,0.5438679972533017,B
90,80,0.47105746372300294,0.0233034266112947,0.0368438407316765,0.0005744274964505,0.001348905472927,0.316871935964648,1,0.7451946925681607,0.733884037595393,B
